,num bidders,avg rev,avg num med,avg_num_med
0,2.0,2.5455844122715714,,1.8
1,3.0,4.070319397786862,,2.35
2,4.0,5.2,,2.8
3,5.0,6.037383539249433,,3.1
4,6.0,6.491147818375421,,3.2
5,7.0,7.011240974321165,,3.55
6,8.0,8.061017305526642,,4.0
7,9.0,8.55,,4.6
8,10.0,9.01249133147988,,4.5
9,11.0,9.9498743710662,,5.45
10,12.0,10.045894683899489,,4.9
11,13.0,10.456098698845569,,4.95
12,14.0,11.224972160321824,,5.1
13,15.0,11.425300871311881,,5.5
14,16.0,11.4,,5.85
15,17.0,11.957006314291215,,5.65
16,18.0,12.727922061357855,,5.3
17,19.0,12.85875188344499,,5.85
18,20.0,12.96919426949878,,5.7
19,21.0,13.518598300119729,,6.2
20,22.0,14.071247279470288,,6.25
21,23.0,14.387494569938157,,6.85
22,24.0,14.45198948242075,,6.55
23,25.0,14.75,,6.55
24,26.0,15.042107565098714,,6.05
25,27.0,15.588457268119896,,7.05
26,28.0,15.609932735281085,,6.75
27,29.0,16.15549442140351,,7.75
28,30.0,16.431676725154983,,6.8
