,num bidders,avg rev,avg num med,avg_num_med
0,2.0,2.8284271247461903,,2.0
1,3.0,4.9363448015713,,2.85
2,4.0,7.0,,3.5
3,5.0,8.83246851112417,,3.95
4,6.0,10.900229355385141,,4.45
5,7.0,13.890194383089101,,5.25
6,8.0,14.56639969244288,,5.2
7,9.0,16.5,,5.65
8,10.0,18.024982662959765,,5.85
9,11.0,19.73391750261463,,6.35
10,12.0,20.611404610069638,,6.25
11,13.0,20.55164227014474,,6.1
12,14.0,23.385358667337133,,6.9
13,15.0,21.882355906071908,,6.25
14,16.0,23.6,,6.85
15,17.0,25.563254878829493,,7.1
16,18.0,27.577164466275352,,7.35
17,19.0,28.986677974545483,,7.6
18,20.0,29.292490505247248,,7.75
19,21.0,29.328484447717372,,8.55
20,22.0,31.191264802825806,,7.65
21,23.0,31.412696477698308,,7.85
22,24.0,32.82316255329458,,8.7
23,25.0,33.25,,7.75
24,26.0,33.908479765392016,,9.1
25,27.0,35.333836474405096,,9.15
26,28.0,35.71764269937198,,8.7
27,29.0,36.888378928871354,,8.9
28,30.0,36.42355007409355,,8.55
