,num items,avg probability
0,2.0,0.252
1,3.0,0.288
2,4.0,0.29233333333333333
3,5.0,0.31633333333333336
4,6.0,0.33
5,7.0,0.3393333333333333
6,8.0,0.34933333333333333
7,9.0,0.354
8,10.0,0.389
9,11.0,0.398
10,12.0,0.396
11,13.0,0.4216666666666667
12,14.0,0.431
13,15.0,0.433
14,16.0,0.44266666666666665
15,17.0,0.43533333333333335
16,18.0,0.446
17,19.0,0.447
18,20.0,0.4603333333333333
19,21.0,0.4796666666666667
20,22.0,0.47433333333333333
21,23.0,0.4866666666666667
22,24.0,0.47600000000000003
23,25.0,0.48333333333333334
24,26.0,0.5093333333333333
25,27.0,0.492
26,28.0,0.5183333333333333
27,29.0,0.5116666666666667
28,30.0,0.5113333333333333
