,num bidders,avg rev,avg num med,avg_num_med
0,2.0,2.8284271247461903,,2.0
1,3.0,4.9363448015713,,2.85
2,4.0,7.4,,3.7
3,5.0,9.503288904374106,,4.25
4,6.0,10.532805893967666,,4.3
5,7.0,14.02248194864233,,5.3
6,8.0,16.122034611053284,,5.7
7,9.0,18.75,,6.25
8,10.0,20.396690908086047,,6.55
9,11.0,21.226398658274558,,6.65
10,12.0,23.382685902179844,,6.95
11,13.0,22.174140344103535,,6.15
12,14.0,26.75285031543368,,7.85
13,15.0,26.72358508883118,,7.5
14,16.0,28.4,,7.8
15,17.0,28.03711825420009,,7.4
16,18.0,31.607673119038672,,8.25
17,19.0,30.51229260478472,,7.85
18,20.0,32.42298567374695,,7.55
19,21.0,34.82757528166438,,9.0
20,22.0,35.17811819867572,,8.45
21,23.0,35.48915327251412,,9.0
22,24.0,36.49739716746935,,8.8
23,25.0,36.25,,8.2
24,26.0,39.51740123034408,,9.05
25,27.0,38.97114317029974,,9.4
26,28.0,39.68626966596886,,9.0
27,29.0,41.196510774578954,,9.3
28,30.0,41.90077564914521,,9.5
