,num bidders,avg rev,avg num med
0,2.0,5.656854249492381,2.0
1,3.0,6.928203230275509,3.0
2,4.0,8.0,4.0
3,5.0,8.94427190999916,4.0
4,6.0,9.797958971132712,4.0
5,7.0,10.583005244258363,2.0
6,8.0,11.313708498984761,4.0
7,9.0,12.0,6.0
8,10.0,12.649110640673518,5.0
9,11.0,13.2664991614216,6.0
10,12.0,13.856406460551018,3.0
11,13.0,14.422205101855956,6.0
12,14.0,14.966629547095765,4.0
13,15.0,15.491933384829668,3.0
14,16.0,16.0,5.0
15,17.0,16.492422502470642,8.0
16,18.0,16.97056274847714,7.0
17,19.0,17.435595774162696,7.0
18,20.0,17.88854381999832,7.0
19,21.0,18.33030277982336,10.0
20,22.0,18.76166303929372,11.0
21,23.0,19.183326093250876,10.0
22,24.0,19.595917942265423,8.0
23,25.0,20.0,6.0
24,26.0,20.396078054371138,6.0
25,27.0,20.784609690826528,8.0
26,28.0,21.166010488516726,7.0
27,29.0,21.540659228538015,8.0
28,30.0,21.908902300206645,8.0
