,num bidders,avg rev,avg num med
0,2.0,9.75100251256249,1.97
1,3.0,12.12435565298214,2.85
2,4.0,14.0,3.62
3,5.0,15.574213463286036,4.02
4,6.0,17.060696058484833,4.48
5,7.0,18.520259177452136,5.04
6,8.0,19.79898987322333,5.4
7,9.0,21.0,5.64
8,10.0,22.135943621178658,5.84
9,11.0,23.2163735324878,6.2
10,12.0,24.24871130596428,6.59
11,13.0,25.112664633606684,6.65
12,14.0,26.19160170741759,6.87
13,15.0,27.11088342345192,7.08
14,16.0,28.0,7.25
15,17.0,28.861739379323623,7.78
16,18.0,29.698484809834994,7.59
17,19.0,30.51229260478472,7.6
18,20.0,31.304951684997057,7.47
19,21.0,32.078029864690876,8.3
20,22.0,32.83291031876401,8.25
21,23.0,33.57082066318903,8.49
22,24.0,34.29285639896449,8.92
23,25.0,35.0,8.74
24,26.0,35.69313659514949,8.71
25,27.0,36.373066958946424,8.83
26,28.0,37.04051835490427,9.21
27,29.0,37.69615364994153,9.55
28,30.0,38.34057902536163,8.82
29,31.0,38.97435053981015,9.46
30,32.0,39.59797974644666,9.64
31,33.0,40.2119385257662,9.48
32,34.0,40.81666326391711,9.88
33,35.0,41.41255848169731,9.48
34,36.0,42.0,9.98
35,37.0,42.579337712087536,10.1
36,38.0,43.15089802078283,10.35
37,39.0,43.71498598878879,10.35
38,40.0,44.271887242357316,10.48
39,41.0,44.82186966202994,10.57
40,42.0,45.365184888855026,10.55
41,43.0,45.902069670114,10.58
42,44.0,46.4327470649756,10.84
43,45.0,46.95742752749558,10.48
44,46.0,47.47630988187688,10.44
45,47.0,47.989582202807306,10.34
46,48.0,48.49742261192856,10.73
47,49.0,49.0,10.78
48,50.0,49.49747468305833,11.33
49,51.0,49.98999899979995,10.97
50,52.0,50.47771785649585,10.91
51,53.0,50.96076922496363,11.39
52,54.0,51.43928459844674,11.25
53,55.0,51.91338940966964,11.35
54,56.0,52.38320341483518,12.02
55,57.0,52.848841046895245,11.15
56,58.0,53.31041174104736,12.05
57,59.0,53.76802023508026,12.37
58,60.0,54.22176684690384,11.34
59,61.0,54.67174773134658,12.1
60,62.0,55.11805511808268,12.21
61,63.0,55.560777532356404,11.85
62,64.0,56.0,12.19
63,65.0,56.435804238089844,12.12
64,66.0,56.868268832451726,12.33
65,67.0,57.29746940310715,12.34
66,68.0,57.723478758647246,12.08
67,69.0,58.146367040426526,12.43
68,70.0,58.56620185738529,11.94
69,71.0,58.98304841223451,12.41
70,72.0,59.39696961966999,12.67
71,73.0,59.80802621722271,11.96
72,74.0,60.21627686929838,12.91
73,75.0,60.62177826491071,12.83
74,76.0,61.02458520956944,12.63
75,77.0,61.424750711744856,13.12
76,78.0,61.822326064294934,13.8
77,79.0,62.21736092120912,12.78
78,80.0,62.609903369994115,12.94
