,num bidders,avg rev,avg num med
0,2.0,12.727922061357857,2.0
1,3.0,15.588457268119894,2.85
2,4.0,18.0,3.7
3,5.0,20.12461179749811,4.3
4,6.0,22.045407685048602,4.65
5,7.0,23.811761799581316,5.1
6,8.0,25.455844122715714,5.65
7,9.0,27.0,5.95
8,10.0,28.460498941515414,6.8
9,11.0,29.849623113198597,6.55
10,12.0,31.17691453623979,7.25
11,13.0,32.449961479175904,6.9
12,14.0,33.67491648096547,7.95
13,15.0,34.856850115866756,8.4
14,16.0,36.0,7.8
15,17.0,37.107950630558946,7.9
16,18.0,38.18376618407356,7.7
17,19.0,39.230090491866065,8.35
18,20.0,40.24922359499622,8.95
19,21.0,41.24318125460256,8.15
20,22.0,42.21374183841087,8.3
21,23.0,43.162483709814474,9.1
22,24.0,44.090815370097204,9.5
23,25.0,45.0,9.0
24,26.0,45.89117562233506,9.75
25,27.0,46.76537180435969,10.05
26,28.0,47.62352359916263,9.45
27,29.0,48.46648326421053,10.15
28,30.0,49.29503017546495,9.5
