,num bidders,avg rev,avg num med,avg_num_med
0,2.0,2.7577164466275357,,1.95
1,3.0,4.849742261192857,,2.8
2,4.0,6.5,,3.25
3,5.0,8.049844718999243,,3.75
4,6.0,8.450739612601964,,3.55
5,7.0,9.127842023172837,,4.5
6,8.0,10.465180361560904,,4.75
7,9.0,11.25,,4.65
8,10.0,11.700427342623005,,4.9
9,11.0,13.10066792190383,,5.8
10,12.0,13.336791218280354,,5.55
11,13.0,13.34053971921676,,5.5
12,14.0,14.779546677757068,,5.95
13,15.0,15.104635050208927,,5.9
14,16.0,15.0,,5.3
15,17.0,15.461646096066227,,5.15
16,18.0,16.758430714121175,,6.65
17,19.0,16.99970587980863,,6.55
18,20.0,17.88854381999832,,7.3
19,21.0,17.872045210327776,,6.8
20,22.0,18.76166303929372,,7.3
21,23.0,19.183326093250876,,6.8
22,24.0,19.595917942265423,,7.15
23,25.0,20.0,,7.6
24,26.0,19.631225127332222,,6.9
25,27.0,20.784609690826528,,8.3
26,28.0,21.166010488516726,,7.0
27,29.0,21.27140098818129,,8.1
28,30.0,21.361179742701477,,8.65
