,num bidders,avg rev,avg num med,avg_num_med
0,2.0,2.8284271247461903,,2.0
1,3.0,4.9363448015713,,2.85
2,4.0,6.6,,3.3
3,5.0,8.608861713374191,,3.85
4,6.0,9.430535509715234,,4.0
5,7.0,12.170456030897117,,4.9
6,8.0,12.445079348883237,,4.85
7,9.0,12.45,,4.65
8,10.0,14.230249470757709,,5.1
9,11.0,14.924811556599298,,5.5
10,12.0,16.800892833418107,,5.65
11,13.0,16.76581343090755,,5.7
12,14.0,17.21162397916013,,6.3
13,15.0,18.78396922910597,,6.8
14,16.0,18.6,,6.2
15,17.0,19.790907002964772,,6.55
16,18.0,20.1525432638166,,7.7
17,19.0,21.14065987617227,,6.75
18,20.0,21.019038988498025,,7.25
19,21.0,22.225492120535822,,7.35
20,22.0,21.575912495187776,,6.75
21,23.0,23.979157616563597,,7.7
22,24.0,23.760050504996826,,7.2
23,25.0,24.0,,7.35
24,26.0,24.730244640925008,,7.75
25,27.0,25.461146871262496,,8.05
26,28.0,25.39921258622007,,7.8
27,29.0,26.92582403567252,,9.3
28,30.0,26.56454403900056,,9.2
