,num bidders,avg rev,avg num med
0,2.0,2.4607315985291858,1.74
1,3.0,2.96180688094278,2.07
2,4.0,3.68,2.49
3,5.0,4.2708898370245985,2.97
4,6.0,4.776504998427197,3.03
5,7.0,5.185672569686598,3.39
6,8.0,5.260874452027914,3.41
7,9.0,5.82,3.91
8,10.0,6.1664414373283405,4.37
9,11.0,6.533750837000138,4.14
10,12.0,6.754998149518621,4.3
11,13.0,7.030824987154779,4.34
12,14.0,7.408481625812404,4.55
13,15.0,7.436128024718241,4.63
14,16.0,7.88,5.0
15,17.0,8.204980194979145,5.27
16,18.0,8.442854967367376,5.19
17,19.0,8.717797887081348,5.27
18,20.0,8.765386471799175,5.64
19,21.0,9.073499876012562,5.22
20,22.0,9.333927362048625,5.96
21,23.0,9.495746416159184,6.06
22,24.0,9.748969176277049,6.14
23,25.0,9.95,5.59
24,26.0,10.198039027185569,6.01
25,27.0,10.392304845413264,6.15
26,28.0,10.583005244258363,6.55
27,29.0,10.716477966197662,6.46
28,30.0,10.954451150103322,7.01
29,31.0,11.135528725660043,6.62
30,32.0,11.313708498984761,7.45
31,33.0,11.489125293076057,6.97
32,34.0,11.661903789690601,7.11
33,35.0,11.71383797053724,7.11
34,36.0,12.0,7.13
35,37.0,12.165525060596439,7.14
36,38.0,12.328828005937952,7.59
37,39.0,12.489995996796797,7.72
38,40.0,12.649110640673518,7.34
39,41.0,12.742217232491369,7.52
40,42.0,12.831866582847564,7.67
41,43.0,13.114877048604,7.49
42,44.0,13.2664991614216,7.66
43,45.0,13.349325825673745,8.36
44,46.0,13.564659966250536,8.02
45,47.0,13.711309200802088,7.84
46,48.0,13.856406460551018,8.04
47,49.0,14.0,8.3
48,50.0,14.142135623730951,8.33
49,51.0,14.2828568570857,8.54
50,52.0,14.422205101855956,8.41
51,53.0,14.560219778561036,8.5
52,54.0,14.696938456699069,8.09
53,55.0,14.832396974191326,8.31
54,56.0,14.966629547095765,8.2
55,57.0,15.0996688705415,8.56
56,58.0,15.231546211727817,9.21
57,59.0,15.362291495737216,9.18
58,60.0,15.491933384829668,9.21
59,61.0,15.620499351813308,9.0
60,62.0,15.748015748023622,9.2
61,63.0,15.874507866387544,9.26
62,64.0,16.0,9.85
63,65.0,16.1245154965971,9.22
64,66.0,16.24807680927192,9.86
65,67.0,16.3707055437449,9.89
66,68.0,16.492422502470642,9.49
67,69.0,16.61324772583615,9.64
68,70.0,16.73320053068151,9.59
69,71.0,16.852299546352718,9.45
70,72.0,16.97056274847714,10.03
71,73.0,17.08800749063506,9.93
72,74.0,17.204650534085253,10.18
73,75.0,17.320508075688775,9.96
74,76.0,17.435595774162696,9.66
75,77.0,17.549928774784245,10.95
76,78.0,17.663521732655695,9.75
77,79.0,17.776388834631177,10.2
78,80.0,17.88854381999832,10.39
79,81.0,18.0,10.23
80,82.0,18.110770276274835,10.07
81,83.0,18.2208671582886,10.3
82,84.0,18.33030277982336,10.48
83,85.0,18.439088914585774,10.42
84,86.0,18.547236990991408,10.37
85,87.0,18.65475810617763,10.82
86,88.0,18.76166303929372,10.55
87,89.0,18.867962264113206,10.62
88,90.0,18.973665961010276,10.85
89,91.0,19.078784028338912,11.0
90,92.0,19.183326093250876,11.13
91,93.0,19.28730152198591,10.45
92,94.0,19.390719429665317,10.77
93,95.0,19.493588689617926,11.17
94,96.0,19.595917942265423,11.71
95,97.0,19.697715603592208,11.57
96,98.0,19.79898987322333,11.33
97,99.0,19.8997487421324,11.49
98,100.0,19.9,11.18
