,num bidders,avg rev,avg num med
0,2.0,2.8284271247461903,2.0
1,3.0,5.196152422706632,3.0
2,4.0,6.0,3.0
3,5.0,11.180339887498949,5.0
4,6.0,14.696938456699067,6.0
5,7.0,10.583005244258363,4.0
6,8.0,14.142135623730951,5.0
7,9.0,12.0,4.0
8,10.0,15.811388300841898,5.0
9,11.0,19.8997487421324,9.0
10,12.0,17.32050807568877,5.0
11,13.0,21.633307652783934,6.0
12,14.0,14.966629547095765,4.0
13,15.0,23.237900077244504,8.0
14,16.0,24.0,10.0
15,17.0,24.73863375370596,7.0
16,18.0,25.45584412271571,8.0
17,19.0,26.153393661244046,10.0
18,20.0,22.360679774997898,5.0
19,21.0,27.49545416973504,10.0
20,22.0,28.142494558940577,6.0
21,23.0,28.774989139876315,7.0
22,24.0,24.49489742783178,5.0
23,25.0,30.0,6.0
24,26.0,30.594117081556707,7.0
25,27.0,25.98076211353316,5.0
26,28.0,31.74901573277509,9.0
27,29.0,32.31098884280702,12.0
28,30.0,32.863353450309965,9.0
29,31.0,33.40658617698013,11.0
30,32.0,33.941125496954285,9.0
31,33.0,34.46737587922817,14.0
32,34.0,34.98571136907181,15.0
33,35.0,35.4964786985977,9.0
34,36.0,36.0,9.0
35,37.0,36.49657518178932,11.0
36,38.0,36.98648401781386,10.0
37,39.0,37.46998799039039,7.0
38,40.0,37.94733192202055,8.0
39,41.0,38.41874542459709,10.0
40,42.0,38.88444419044716,10.0
41,43.0,39.344631145812,7.0
42,44.0,39.7994974842648,13.0
43,45.0,40.24922359499622,12.0
44,46.0,40.69397989875161,17.0
45,47.0,41.13392760240626,13.0
46,48.0,41.569219381653056,6.0
47,49.0,42.0,7.0
48,50.0,35.35533905932738,5.0
49,51.0,42.8485705712571,13.0
50,52.0,43.26661530556787,19.0
51,53.0,43.68065933568311,10.0
52,54.0,44.090815370097204,10.0
53,55.0,44.49719092257398,13.0
54,56.0,44.8998886412873,11.0
55,57.0,45.2990066116245,10.0
56,58.0,45.69463863518345,10.0
57,59.0,46.086874487211645,9.0
58,60.0,46.47580015448901,13.0
59,61.0,46.861498055439924,14.0
60,62.0,47.24404724407087,16.0
61,63.0,47.62352359916263,12.0
62,64.0,48.0,17.0
63,65.0,48.373546489791295,16.0
64,66.0,48.744230427815765,12.0
65,67.0,49.1121166312347,13.0
66,68.0,49.47726750741192,8.0
67,69.0,49.83974317750845,15.0
68,70.0,50.19960159204453,18.0
69,71.0,50.556898639058154,8.0
70,72.0,50.91168824543142,12.0
71,73.0,51.26402247190518,15.0
72,74.0,51.61395160225576,10.0
73,75.0,51.96152422706632,12.0
74,76.0,52.30678732248809,14.0
75,77.0,52.64978632435273,11.0
76,78.0,52.990565197967086,15.0
77,79.0,53.32916650389353,19.0
78,80.0,53.665631459994955,13.0
79,81.0,36.0,4.0
80,82.0,54.332310828824504,14.0
81,83.0,54.662601474865795,17.0
82,84.0,54.99090833947008,8.0
83,85.0,55.31726674375732,13.0
84,86.0,55.641710972974224,10.0
85,87.0,55.964274318532894,22.0
86,88.0,56.28498911788115,13.0
87,89.0,56.60388679233962,15.0
88,90.0,56.92099788303083,15.0
89,91.0,57.23635208501673,22.0
90,92.0,57.54997827975263,14.0
91,93.0,57.86190456595773,13.0
92,94.0,58.17215828899595,6.0
93,95.0,58.48076606885378,16.0
94,96.0,58.78775382679627,15.0
95,97.0,49.244289008980516,5.0
96,98.0,59.39696961966999,8.0
97,99.0,59.69924622639719,11.0
98,100.0,60.0,11.0
