,num bidders,avg rev,avg num med,avg_num_med
0,2.0,2.8284271247461903,,2.0
1,3.0,5.196152422706632,,3.0
2,4.0,8.0,,4.0
3,5.0,9.950502499874064,,4.45
4,6.0,12.859821149611685,,5.25
5,7.0,14.55163221085525,,5.5
6,8.0,17.39482681718907,,6.15
7,9.0,18.9,,6.3
8,10.0,20.08046314206921,,6.35
9,11.0,23.71386725104111,,7.15
10,12.0,26.153967194290047,,7.6
11,13.0,24.878303800701527,,6.9
12,14.0,31.804087787578503,,8.65
13,15.0,30.209270100417854,,7.95
14,16.0,32.0,,8.05
15,17.0,34.221776692626584,,8.5
16,18.0,33.09259735953042,,7.85
17,19.0,37.26858596727276,,8.65
18,20.0,39.802009999496256,,9.35
19,21.0,35.05670406641217,,8.0
20,22.0,40.80661711046384,,9.0
21,23.0,40.04519321966121,,8.6
22,24.0,44.090815370097204,,9.9
23,25.0,44.5,,9.4
24,26.0,46.1461265980147,,10.2
25,27.0,44.94671845641237,,9.55
26,28.0,45.2423474192045,,9.4
27,29.0,51.15906566777779,,11.45
28,30.0,51.21205912673303,,10.5
