,num bidders,avg rev
0,2.0,2.4890158697766473
1,3.0,3.186973485926734
2,4.0,3.76
3,5.0,4.3603325561245905
4,6.0,4.5315560241488795
5,7.0,5.079842517244014
6,8.0,5.543717164502533
7,9.0,5.91
8,10.0,6.229686990531707
9,11.0,6.46741834119303
10,12.0,6.685716117215866
11,13.0,7.102936012664059
12,14.0,7.296231904209185
13,15.0,7.668507025490686
14,16.0,7.72
15,17.0,8.204980194979145
16,18.0,8.35800215362499
17,19.0,8.543441929339721
18,20.0,8.94427190999916
19,21.0,9.16515138991168
20,22.0,9.193214889253923
21,23.0,9.591663046625438
22,24.0,9.797958971132712
23,25.0,9.85
24,26.0,10.198039027185569
25,27.0,10.340343321186198
26,28.0,10.53009021803707
27,29.0,10.770329614269007
28,30.0,10.899678894352805
29,31.0,11.135528725660043
30,32.0,11.313708498984761
31,33.0,11.489125293076057
32,34.0,11.661903789690601
33,35.0,11.832159566199232
34,36.0,11.88
35,37.0,12.165525060596439
36,38.0,12.205539725878573
37,39.0,12.489995996796797
38,40.0,12.522619534266783
39,41.0,12.806248474865697
40,42.0,12.96148139681572
41,43.0,13.114877048604
42,44.0,13.2664991614216
43,45.0,13.416407864998739
44,46.0,13.564659966250536
45,47.0,13.711309200802088
46,48.0,13.856406460551018
47,49.0,14.0
48,50.0,14.142135623730951
49,51.0,14.2828568570857
50,52.0,14.422205101855956
51,53.0,14.560219778561036
52,54.0,14.696938456699069
53,55.0,14.832396974191326
54,56.0,14.966629547095765
55,57.0,15.0996688705415
56,58.0,15.231546211727817
57,59.0,15.362291495737216
58,60.0,15.491933384829668
59,61.0,15.620499351813308
60,62.0,15.748015748023622
61,63.0,15.874507866387544
62,64.0,16.0
63,65.0,16.1245154965971
64,66.0,16.16683642522556
65,67.0,16.3707055437449
66,68.0,16.492422502470642
67,69.0,16.61324772583615
68,70.0,16.73320053068151
69,71.0,16.852299546352718
70,72.0,16.97056274847714
71,73.0,17.002567453181886
72,74.0,17.204650534085253
73,75.0,17.320508075688775
74,76.0,17.435595774162696
75,77.0,17.549928774784245
76,78.0,17.663521732655695
77,79.0,17.776388834631177
78,80.0,17.88854381999832
