num items,num bidders,avg rev,,
3,50,21.21320344,21.21320344,2.4869E-14
3,51,21.42428529,21.42428529,4.9738E-14
3,52,21.63330765,21.63330765,3.55271E-14
3,53,21.84032967,21.84032967,5.32907E-14
3,54,22.04540769,22.04540769,3.55271E-15
3,55,22.24859546,22.24859546,8.88178E-14
3,56,22.44994432,22.44994432,4.9738E-14
3,57,22.64950331,22.64950331,4.9738E-14
3,58,22.84731932,22.84731932,2.4869E-14
3,59,23.04343724,23.04343724,2.13163E-14
3,60,23.23790008,23.23790008,3.55271E-15
3,61,23.43074903,23.43074903,6.03961E-14
3,62,23.62202362,23.62202362,3.55271E-14
3,63,23.8117618,23.8117618,1.42109E-14
3,64,24,24,0
3,65,24.18677324,24.18677324,4.61853E-14
3,66,24.37211521,24.37211521,8.17124E-14
3,67,24.55605832,24.55605832,4.9738E-14
3,68,24.73863375,24.73863375,6.03961E-14
3,69,24.91987159,24.91987159,2.4869E-14
3,70,25.0998008,25.0998008,6.39488E-14
3,71,25.27844932,25.27844932,7.81597E-14
3,72,25.45584412,25.45584412,1.06581E-14
3,73,25.63201124,25.63201124,8.88178E-14
3,74,25.8069758,25.8069758,8.17124E-14
3,75,25.98076211,25.98076211,6.03961E-14
3,76,26.15339366,26.15339366,4.61853E-14
3,77,26.32489316,26.32489316,6.75016E-14
3,78,26.4952826,26.4952826,4.26326E-14
3,79,26.66458325,26.66458325,6.75016E-14
3,80,26.83281573,26.83281573,7.81597E-14
4,2,5.43058008,5.656854249,0.22627417
4,3,6.651075101,6.92820323,0.277128129
4,4,7.88,8,0.12
4,5,8.720665112,8.94427191,0.223606798
4,6,9.650989587,9.797958971,0.146969385
4,7,10.37134514,10.58300524,0.211660105
4,8,11.3137085,11.3137085,6.03961E-14
4,9,11.94,12,0.06
4,10,12.58586509,12.64911064,0.063245553
4,11,13.06750167,13.26649916,0.198997487
4,12,13.78712443,13.85640646,0.069282032
4,13,14.4222051,14.4222051,5.68434E-14
4,14,14.96662955,14.96662955,6.57252E-14
4,15,15.49193338,15.49193338,6.75016E-14
4,16,16,16,0
4,17,16.40996039,16.4924225,0.082462113
4,18,16.71600431,16.97056275,0.254558441
4,19,17.3484178,17.43559577,0.087177979
4,20,17.88854382,17.88854382,1.77636E-14
4,21,18.33030278,18.33030278,6.03961E-14
4,22,18.76166304,18.76166304,1.77636E-14
4,23,19.18332609,19.18332609,7.81597E-14
4,24,19.59591794,19.59591794,2.13163E-14
4,25,20,20,0
4,26,20.39607805,20.39607805,3.90799E-14
4,27,20.78460969,20.78460969,2.84217E-14
4,28,21.16601049,21.16601049,2.4869E-14
