,num items,avg probability
0,2.0,0.405
1,3.0,0.4533333333333333
2,4.0,0.5083333333333333
3,5.0,0.5441666666666667
4,6.0,0.6008333333333333
5,7.0,0.6091666666666666
6,8.0,0.6275
7,9.0,0.6425
8,10.0,0.6633333333333333
9,11.0,0.6666666666666666
10,12.0,0.7166666666666667
11,13.0,0.6933333333333334
12,14.0,0.7191666666666666
13,15.0,0.7408333333333333
14,16.0,0.7608333333333334
15,17.0,0.7575000000000001
16,18.0,0.7725
17,19.0,0.7975
18,20.0,0.8075
19,21.0,0.8275
20,22.0,0.8183333333333334
21,23.0,0.84
22,24.0,0.8425
23,25.0,0.8291666666666667
24,26.0,0.84
25,27.0,0.8508333333333333
26,28.0,0.8608333333333333
27,29.0,0.8741666666666666
28,30.0,0.8741666666666666
