,num bidders,avg rev,avg num med
0,2.0,11.313708498984761,2.0
1,3.0,13.509996299037242,2.9
2,4.0,16.0,3.55
3,5.0,17.88854381999832,4.25
4,6.0,19.595917942265423,4.45
5,7.0,21.166010488516726,5.0
6,8.0,22.627416997969522,5.15
7,9.0,24.0,5.6
8,10.0,24.665765749313362,5.85
9,11.0,26.5329983228432,5.95
10,12.0,27.712812921102035,6.65
11,13.0,28.844410203711913,6.55
12,14.0,29.93325909419153,7.2
13,15.0,30.983866769659336,7.15
14,16.0,32.0,7.15
15,17.0,32.984845004941285,7.85
16,18.0,33.94112549695428,8.05
17,19.0,34.87119154832539,8.6
18,20.0,35.77708763999664,8.9
19,21.0,36.66060555964672,9.15
20,22.0,37.52332607858744,9.45
21,23.0,38.36665218650175,8.05
22,24.0,39.191835884530846,8.75
23,25.0,40.0,10.6
24,26.0,40.792156108742276,9.0
25,27.0,41.569219381653056,8.9
26,28.0,42.33202097703345,9.8
27,29.0,43.08131845707603,9.45
28,30.0,43.81780460041329,10.15
