,num bidders,avg rev,avg num med
0,2.0,14.142135623730951,2.0
1,3.0,17.32050807568877,3.0
2,4.0,20.0,3.75
3,5.0,22.360679774997898,4.35
4,6.0,24.49489742783178,5.05
5,7.0,26.457513110645905,5.2
6,8.0,28.284271247461902,6.0
7,9.0,30.0,6.4
8,10.0,31.622776601683796,6.85
9,11.0,33.166247903553995,7.1
10,12.0,34.64101615137754,7.35
11,13.0,36.05551275463989,7.15
12,14.0,37.416573867739416,7.55
13,15.0,38.72983346207417,7.95
14,16.0,40.0,8.5
15,17.0,41.23105625617661,8.8
16,18.0,42.426406871192846,8.55
17,19.0,43.58898943540674,8.5
18,20.0,44.721359549995796,9.0
19,21.0,45.8257569495584,8.7
20,22.0,46.9041575982343,7.45
21,23.0,47.958315233127195,9.55
22,24.0,48.98979485566356,8.85
23,25.0,50.0,10.3
24,26.0,50.99019513592785,9.85
25,27.0,51.96152422706632,10.15
26,28.0,52.91502622129181,9.15
27,29.0,53.85164807134504,10.75
28,30.0,54.772255750516614,10.65
