,num bidders,avg rev,avg num med
0,2.0,8.442854967367378,1.99
1,3.0,10.340343321186198,2.79
2,4.0,12.0,3.47
3,5.0,13.416407864998739,3.85
4,6.0,14.623453764415572,4.21
5,7.0,15.874507866387544,4.67
6,8.0,16.970562748477143,5.35
7,9.0,18.0,5.35
8,10.0,18.689060971595122,5.65
9,11.0,19.8997487421324,6.11
10,12.0,20.784609690826528,5.99
11,13.0,21.525141114520014,6.5
12,14.0,22.337694599040432,6.79
13,15.0,23.237900077244504,6.95
14,16.0,24.0,6.92
15,17.0,24.73863375370596,7.03
16,18.0,25.45584412271571,7.34
17,19.0,26.153393661244046,7.37
18,20.0,26.832815729997478,7.28
19,21.0,27.49545416973504,7.59
20,22.0,28.142494558940577,8.03
21,23.0,28.774989139876315,8.11
22,24.0,29.393876913398135,8.31
23,25.0,30.0,8.12
24,26.0,30.594117081556707,8.48
25,27.0,31.176914536239792,8.22
26,28.0,31.74901573277509,8.94
27,29.0,32.31098884280702,8.71
28,30.0,32.863353450309965,9.04
29,31.0,33.40658617698013,8.86
30,32.0,33.941125496954285,9.06
31,33.0,34.46737587922817,9.4
32,34.0,34.98571136907181,9.5
33,35.0,35.4964786985977,9.25
34,36.0,35.82,9.19
35,37.0,36.49657518178932,9.68
36,38.0,36.98648401781386,10.4
37,39.0,37.46998799039039,9.64
38,40.0,37.94733192202055,10.02
39,41.0,38.41874542459709,9.58
40,42.0,38.88444419044716,10.21
41,43.0,39.344631145812,10.09
42,44.0,39.7994974842648,10.19
43,45.0,40.24922359499622,10.68
44,46.0,40.69397989875161,10.77
45,47.0,41.13392760240626,10.38
46,48.0,41.569219381653056,10.09
47,49.0,42.0,10.27
48,50.0,42.42640687119285,10.82
49,51.0,42.8485705712571,10.81
50,52.0,43.26661530556787,10.68
51,53.0,43.68065933568311,11.07
52,54.0,44.090815370097204,11.03
53,55.0,44.49719092257398,11.6
54,56.0,44.8998886412873,11.04
55,57.0,45.2990066116245,11.47
56,58.0,45.69463863518345,11.43
57,59.0,46.086874487211645,11.79
58,60.0,46.47580015448901,11.42
59,61.0,46.861498055439924,11.83
60,62.0,47.24404724407087,12.13
61,63.0,47.62352359916263,11.69
62,64.0,48.0,11.95
63,65.0,48.373546489791295,11.67
64,66.0,48.744230427815765,11.94
65,67.0,49.1121166312347,11.82
66,68.0,49.47726750741192,11.89
67,69.0,49.83974317750845,12.06
68,70.0,50.19960159204453,12.03
69,71.0,50.556898639058154,12.13
70,72.0,50.91168824543142,12.49
71,73.0,51.26402247190518,12.44
72,74.0,51.61395160225576,12.66
73,75.0,51.96152422706632,12.68
74,76.0,52.30678732248809,12.62
75,77.0,52.64978632435273,12.98
76,78.0,52.990565197967086,12.88
77,79.0,53.32916650389353,12.38
78,80.0,53.665631459994955,12.99
