,num bidders,avg rev,avg num med
0,2.0,4.242640687119286,2.0
1,3.0,4.806440991003635,2.3
2,4.0,5.55,2.85
3,5.0,6.708203932499369,3.4
4,6.0,7.164757497640795,3.6
5,7.0,7.738822584863928,3.85
6,8.0,8.273149339882607,3.7
7,9.0,9.0,4.3
8,10.0,9.486832980505138,5.0
9,11.0,9.9498743710662,4.9
10,12.0,10.392304845413264,4.35
11,13.0,10.816653826391967,5.45
12,14.0,11.224972160321824,5.6
13,15.0,11.618950038622252,5.7
14,16.0,12.0,5.45
15,17.0,12.36931687685298,5.75
16,18.0,12.40972400982391,5.7
17,19.0,13.076696830622023,6.4
18,20.0,13.416407864998739,5.9
19,21.0,13.74772708486752,7.45
20,22.0,14.071247279470288,5.95
21,23.0,14.387494569938157,7.2
22,24.0,14.696938456699067,7.3
23,25.0,15.0,6.6
24,26.0,15.297058540778353,6.55
25,27.0,15.588457268119896,6.5
26,28.0,15.874507866387544,6.85
27,29.0,16.15549442140351,7.1
28,30.0,16.431676725154983,8.15
