,num bidders,avg rev,avg num med
0,2.0,2.8284271247461903,2.0
1,3.0,5.196152422706632,3.0
2,4.0,8.0,4.0
3,5.0,8.94427190999916,4.0
4,6.0,9.797958971132712,4.0
5,7.0,13.228756555322953,6.0
6,8.0,8.485281374238571,3.0
7,9.0,15.0,6.0
8,10.0,12.649110640673518,4.0
9,11.0,16.583123951776997,5.0
10,12.0,13.856406460551018,4.0
11,13.0,18.027756377319946,6.0
12,14.0,18.708286933869708,5.0
13,15.0,19.364916731037084,6.0
14,16.0,20.0,7.0
15,17.0,20.615528128088304,9.0
16,18.0,21.213203435596423,5.0
17,19.0,21.79449471770337,9.0
18,20.0,22.360679774997898,8.0
19,21.0,22.9128784747792,10.0
20,22.0,23.45207879911715,6.0
21,23.0,23.979157616563597,8.0
22,24.0,24.49489742783178,9.0
23,25.0,25.0,9.0
24,26.0,25.495097567963924,11.0
25,27.0,25.98076211353316,9.0
26,28.0,15.874507866387544,3.0
27,29.0,26.92582403567252,6.0
28,30.0,27.386127875258307,11.0
29,31.0,27.83882181415011,7.0
30,32.0,28.284271247461902,9.0
31,33.0,28.722813232690143,10.0
32,34.0,29.154759474226502,9.0
33,35.0,29.58039891549808,11.0
34,36.0,30.0,7.0
35,37.0,30.413812651491096,10.0
36,38.0,30.82207001484488,7.0
37,39.0,31.22498999199199,11.0
38,40.0,31.622776601683796,5.0
39,41.0,32.01562118716424,11.0
40,42.0,25.92296279363144,4.0
41,43.0,32.78719262151,10.0
42,44.0,33.166247903553995,8.0
43,45.0,33.54101966249685,11.0
44,46.0,33.91164991562634,12.0
45,47.0,34.27827300200522,5.0
46,48.0,34.64101615137754,11.0
47,49.0,35.0,11.0
48,50.0,35.35533905932738,11.0
49,51.0,35.707142142714254,12.0
50,52.0,36.05551275463989,8.0
51,53.0,36.40054944640259,10.0
52,54.0,36.742346141747674,16.0
53,55.0,37.080992435478315,9.0
54,56.0,37.416573867739416,12.0
55,57.0,37.74917217635375,10.0
56,58.0,38.07886552931954,16.0
57,59.0,38.40572873934304,10.0
58,60.0,38.72983346207417,11.0
59,61.0,39.05124837953327,9.0
60,62.0,39.370039370059054,19.0
61,63.0,39.68626966596886,12.0
62,64.0,40.0,14.0
63,65.0,40.311288741492746,9.0
64,66.0,40.620192023179804,7.0
65,67.0,40.926763859362254,17.0
66,68.0,41.23105625617661,8.0
67,69.0,41.53311931459037,11.0
68,70.0,41.83300132670378,12.0
69,71.0,42.1307488658818,10.0
70,72.0,42.426406871192846,12.0
71,73.0,42.720018726587654,19.0
72,74.0,43.01162633521314,10.0
73,75.0,43.30127018922194,16.0
74,76.0,43.58898943540674,12.0
75,77.0,43.874821936960615,11.0
76,78.0,44.15880433163924,21.0
77,79.0,44.44097208657794,15.0
78,80.0,44.721359549995796,13.0
79,81.0,45.0,12.0
80,82.0,45.27692569068709,5.0
81,83.0,45.552167895721496,9.0
82,84.0,45.8257569495584,11.0
83,85.0,46.09772228646443,14.0
84,86.0,46.36809247747852,16.0
85,87.0,46.63689526544408,14.0
86,88.0,46.9041575982343,10.0
87,89.0,47.169905660283014,16.0
88,90.0,47.434164902525694,10.0
89,91.0,47.69696007084728,15.0
90,92.0,47.958315233127195,11.0
91,93.0,48.218253804964775,14.0
92,94.0,48.4767985741633,6.0
93,95.0,48.733971724044814,17.0
94,96.0,48.98979485566356,17.0
95,97.0,49.244289008980516,12.0
96,98.0,49.49747468305833,14.0
97,99.0,49.749371855331,7.0
98,100.0,50.0,18.0
