num items,num bidders,avg rev
7,34,40.00033
7,35,40.05186013
7,36,41.1
7,37,41.72775096
7,38,42.0413035
7,39,42.90313625
7,40,43.63943171
7,41,43.09302612
7,42,44.71711082
7,43,45.50862336
7,44,45.57042462
7,45,46.55493529
7,46,46.93372348
7,47,47.30401674
7,48,47.59675619
7,49,48.44
7,50,48.43681451
7,51,49.0616133
7,52,49.82871863
7,53,50.01435494
7,54,51.07186114
7,55,51.09760758
7,56,51.1110399
7,57,52.32035264
7,58,52.70114989
7,59,53.15352858
7,60,53.67954918
7,61,54.04692776
7,62,54.96057496
7,63,55.00516976
7,64,55.68
7,65,55.71020104
7,66,56.62454768
7,67,57.21561588
7,68,57.72347876
7,69,57.89716832
7,70,58.48253585
7,71,58.81452542
7,72,59.31211681
7,73,59.80802622
7,74,59.95820711
7,75,60.44857318
7,76,60.93740723
7,77,60.72275356
7,78,61.82232606
7,79,61.86183314
7,80,62.60990337
