num items,num bidders,avg rev
2,2,2.48901587
2,3,3.186973486
2,4,3.76
2,5,4.360332556
2,6,4.531556024
2,7,5.079842517
2,8,5.543717165
2,9,5.91
2,10,6.229686991
2,11,6.467418341
2,12,6.685716117
2,13,7.102936013
2,14,7.296231904
2,15,7.668507025
2,16,7.72
2,17,8.204980195
2,18,8.358002154
2,19,8.543441929
2,20,8.94427191
2,21,9.16515139
2,22,9.193214889
2,23,9.591663047
2,24,9.797958971
2,25,9.85
2,26,10.19803903
2,27,10.34034332
2,28,10.53009022
2,29,10.77032961
2,30,10.89967889
2,31,11.13552873
2,32,11.3137085
2,33,11.48912529
2,34,11.66190379
2,35,11.83215957
2,36,11.88
2,37,12.16552506
2,38,12.20553973
2,39,12.489996
2,40,12.52261953
2,41,12.80624847
2,42,12.9614814
2,43,13.11487705
2,44,13.26649916
2,45,13.41640786
2,46,13.56465997
2,47,13.7113092
2,48,13.85640646
2,49,14
2,50,14.14213562
2,51,14.28285686
2,52,14.4222051
2,53,14.56021978
2,54,14.69693846
2,55,14.83239697
2,56,14.96662955
2,57,15.09966887
2,58,15.23154621
2,59,15.3622915
2,60,15.49193338
2,61,15.62049935
2,62,15.74801575
2,63,15.87450787
2,64,16
2,65,16.1245155
2,66,16.16683643
2,67,16.37070554
2,68,16.4924225
2,69,16.61324773
2,70,16.73320053
2,71,16.85229955
2,72,16.97056275
2,73,17.00256745
2,74,17.20465053
2,75,17.32050808
2,76,17.43559577
2,77,17.54992877
2,78,17.66352173
2,79,17.77638883
2,80,17.88854382
3,2,2.687005769
3,3,4.208883462
3,4,5.4
3,5,5.724334022
3,6,7.054530459
3,7,7.646221289
3,8,8.004448763
3,9,8.67
3,10,9.328719097
3,11,9.352881909
3,12,10.14981773
3,13,10.42004319
3,14,10.888223
3,15,11.54149037
3,16,11.8
3,17,12.28685476
3,18,12.51579003
3,19,12.90234087
3,20,13.32696515
3,21,13.70190133
3,22,14.02434312
3,23,14.19566131
3,24,14.50097928
3,25,15
3,26,15.29705854
3,27,15.53649574
3,28,15.76867781
3,29,15.88623618
3,30,16.2125877
3,31,16.5919378
3,32,16.97056275
3,33,17.17624231
3,34,17.43454617
3,35,17.74823935
3,36,18
3,37,18.18745997
3,38,18.49324201
3,39,18.61009404
3,40,18.91042041
3,41,19.14534147
3,42,19.4422221
3,43,19.67231557
3,44,19.83341625
3,45,20.1246118
3,46,20.27916665
3,47,20.5669638
3,48,20.78460969
3,49,21
3,50,21.21320344
3,51,21.42428529
3,52,21.4890856
3,53,21.84032967
3,54,22.04540769
3,55,22.24859546
3,56,22.44994432
3,57,22.64950331
3,58,22.84731932
3,59,23.04343724
3,60,23.23790008
3,61,23.43074903
3,62,23.62202362
3,63,23.8117618
3,64,24
3,65,24.18677324
3,66,24.37211521
3,67,24.55605832
3,68,24.73863375
3,69,24.91987159
3,70,25.0998008
3,71,25.27844932
3,72,25.45584412
3,73,25.63201124
3,74,25.8069758
3,75,25.98076211
3,76,26.15339366
3,77,26.32489316
3,78,26.4952826
3,79,26.48681936
3,80,26.83281573
4,2,2.771858582
