,num bidders,avg rev,avg num med,avg_num_med
0,2.0,2.8284271247461903,,2.0
1,3.0,5.022947341949744,,2.9
2,4.0,7.5,,3.75
3,5.0,10.174109297624044,,4.55
4,6.0,12.737346662472525,,5.2
5,7.0,14.55163221085525,,5.5
6,8.0,14.990663761154808,,5.3
7,9.0,17.1,,5.7
8,10.0,19.131779844018695,,6.1
9,11.0,21.39222989779233,,6.45
10,12.0,23.902301144450504,,6.9
11,13.0,23.97691598183553,,6.65
12,14.0,26.75285031543368,,7.4
13,15.0,27.49818175807266,,7.35
14,16.0,29.8,,7.95
15,17.0,31.95406859853687,,8.2
16,18.0,32.45620125646253,,8.15
17,19.0,34.65324660114836,,8.35
18,20.0,32.87019926924691,,8.35
19,21.0,38.72276462237685,,9.6
20,22.0,38.930450806534466,,9.1
21,23.0,37.88706903417048,,9.3
22,24.0,36.252448193191036,,7.65
23,25.0,38.75,,8.7
24,26.0,44.10651879257759,,9.75
25,27.0,41.569219381653056,,8.8
26,28.0,41.538295583714074,,9.0
27,29.0,47.1201920624269,,10.45
28,30.0,44.36552715791846,,9.05
