,num bidders,avg rev,avg num med
0,2.0,5.430580079512685,1.92
1,3.0,6.651075101064489,2.55
2,4.0,7.88,3.11
3,5.0,8.720665112249181,3.64
4,6.0,9.650989586565721,3.86
5,7.0,10.371345139373195,3.95
6,8.0,11.313708498984761,4.5
7,9.0,11.94,4.84
8,10.0,12.58586508747015,4.97
9,11.0,13.067501674000276,5.29
10,12.0,13.787124428248262,5.45
11,13.0,14.422205101855956,5.67
12,14.0,14.966629547095765,6.24
13,15.0,15.491933384829668,6.1
14,16.0,16.0,6.3
15,17.0,16.40996038995829,6.45
16,18.0,16.71600430724998,6.44
17,19.0,17.348417795291883,6.83
18,20.0,17.88854381999832,6.6
19,21.0,18.33030277982336,6.72
20,22.0,18.76166303929372,7.43
21,23.0,19.183326093250876,7.47
22,24.0,19.595917942265423,6.91
23,25.0,20.0,7.1
24,26.0,20.396078054371138,7.69
25,27.0,20.784609690826528,7.91
26,28.0,21.166010488516726,7.82
27,29.0,21.540659228538015,7.78
28,30.0,21.908902300206645,7.85
29,31.0,22.271057451320086,7.97
30,32.0,22.401142827989826,8.17
31,33.0,22.978250586152114,8.25
32,34.0,23.323807579381203,8.46
33,35.0,23.664319132398465,8.48
34,36.0,24.0,8.89
35,37.0,24.331050121192877,8.78
36,38.0,24.657656011875904,8.92
37,39.0,24.979991993593593,8.67
38,40.0,25.298221281347036,8.9
39,41.0,25.612496949731394,9.18
40,42.0,25.92296279363144,9.06
41,43.0,26.229754097208,9.09
42,44.0,26.5329983228432,9.13
43,45.0,26.832815729997478,9.41
44,46.0,27.129319932501073,9.87
45,47.0,27.285505309596154,9.47
46,48.0,27.712812921102035,9.69
47,49.0,28.0,10.3
48,50.0,28.284271247461902,10.3
49,51.0,28.5657137141714,9.44
50,52.0,28.844410203711913,10.39
51,53.0,29.120439557122072,9.74
52,54.0,29.393876913398138,10.48
53,55.0,29.664793948382652,10.33
54,56.0,29.93325909419153,10.1
55,57.0,30.199337741083,10.17
56,58.0,30.463092423455635,9.97
57,59.0,30.72458299147443,10.41
58,60.0,30.983866769659336,10.54
59,61.0,31.240998703626616,10.58
60,62.0,31.496031496047245,10.82
61,63.0,31.74901573277509,10.44
62,64.0,32.0,10.77
63,65.0,32.2490309931942,11.22
64,66.0,32.49615361854384,10.93
65,67.0,32.7414110874898,11.11
66,68.0,32.984845004941285,11.64
67,69.0,33.2264954516723,11.3
68,70.0,33.46640106136302,11.34
69,71.0,33.704599092705436,11.29
70,72.0,33.94112549695428,10.98
71,73.0,34.17601498127012,11.27
72,74.0,34.40930106817051,11.07
73,75.0,34.64101615137755,11.99
74,76.0,34.87119154832539,11.61
75,77.0,35.09985754956849,12.1
76,78.0,35.32704346531139,11.76
77,79.0,35.552777669262355,12.0
78,80.0,35.77708763999664,11.93
