,num bidders,avg rev,avg num med
0,2.0,4.242640687119286,2.0
1,3.0,5.196152422706632,3.0
2,4.0,6.0,4.0
3,5.0,6.708203932499369,4.0
4,6.0,7.348469228349534,3.0
5,7.0,7.937253933193772,6.0
6,8.0,8.485281374238571,6.0
7,9.0,9.0,3.0
8,10.0,9.486832980505138,4.0
9,11.0,9.9498743710662,6.0
10,12.0,10.392304845413264,4.0
11,13.0,10.816653826391967,4.0
12,14.0,11.224972160321824,5.0
13,15.0,11.618950038622252,5.0
14,16.0,12.0,8.0
15,17.0,12.36931687685298,6.0
16,18.0,12.727922061357855,5.0
17,19.0,13.076696830622023,2.0
18,20.0,13.416407864998739,7.0
19,21.0,13.74772708486752,6.0
20,22.0,14.071247279470288,6.0
21,23.0,14.387494569938157,5.0
22,24.0,14.696938456699067,4.0
23,25.0,15.0,11.0
24,26.0,15.297058540778353,5.0
25,27.0,15.588457268119896,9.0
26,28.0,15.874507866387544,7.0
27,29.0,16.15549442140351,4.0
28,30.0,16.431676725154983,5.0
