,num bidders,avg rev,avg num med
0,2.0,9.899494936611665,2.0
1,3.0,11.821246761657587,2.8
2,4.0,14.0,3.55
3,5.0,15.652475842498529,4.3
4,6.0,17.146428199482244,4.4
5,7.0,18.520259177452136,5.4
6,8.0,19.79898987322333,5.15
7,9.0,21.0,5.6
8,10.0,22.135943621178658,6.1
9,11.0,23.2163735324878,6.35
10,12.0,24.24871130596428,6.9
11,13.0,25.238858928247925,5.85
12,14.0,26.19160170741759,7.35
13,15.0,27.11088342345192,7.8
14,16.0,28.0,7.1
15,17.0,28.861739379323623,7.6
16,18.0,29.698484809834994,6.65
17,19.0,30.51229260478472,8.05
18,20.0,31.304951684997057,7.85
19,21.0,32.078029864690876,8.1
20,22.0,32.83291031876401,8.2
21,23.0,33.57082066318903,8.65
22,24.0,34.29285639896449,8.7
23,25.0,35.0,8.35
24,26.0,35.69313659514949,8.25
25,27.0,36.373066958946424,8.4
26,28.0,37.04051835490427,9.05
27,29.0,37.69615364994153,9.05
28,30.0,38.34057902536163,9.45
